"","x","y","area"
"1",8087,9876,"domain_1"
"2",2177,5626,"domain_2"
"3",9208,3882,"domain_3"
"4",3564,9306,"domain_2"
"5",7197,3164,"domain_3"
"6",7700,3452,"domain_3"
"7",9469,9513,"domain_1"
"8",7461,10815,"domain_1"
"9",7074,4535,"domain_3"
"10",8332,5544,"domain_3"
"11",9969,8501,"domain_1"
"12",6445,3887,"domain_4"
"13",2556,7141,"domain_2"
"14",9081,2800,"domain_3"
"15",6201,8218,"domain_3"
"16",9970,9079,"domain_1"
"17",10218,6768,"domain_1"
"18",10093,7563,"domain_1"
"19",7455,7350,"domain_2"
"20",9836,3376,"domain_2"
"21",7450,3885,"domain_3"
"22",3057,5986,"domain_2"
"23",5440,3600,"domain_2"
"24",10088,4098,"domain_2"
"25",9589,6408,"domain_1"
"26",8710,6482,"domain_2"
"27",4817,6993,"domain_3"
"28",4813,4395,"domain_2"
"29",8204,4461,"domain_3"
"30",3057,6274,"domain_2"
"31",6444,3598,"domain_3"
"32",7333,9300,"domain_1"
"33",7082,9444,"domain_1"
"34",3564,8872,"domain_2"
"35",5702,10818,"domain_1"
"36",7707,7494,"domain_2"
"37",6329,10167,"domain_1"
"38",8462,8215,"domain_1"
"39",9970,8790,"domain_1"
"40",8956,2872,"domain_3"
"41",7328,6556,"domain_3"
"42",8464,9803,"domain_1"
"43",3808,4252,"domain_2"
"44",3436,7501,"domain_2"
"45",7952,3740,"domain_2"
"46",5946,6198,"domain_3"
"47",5061,2517,"domain_2"
"48",6073,6703,"domain_3"
"49",5815,2805,"domain_3"
"50",3564,8728,"domain_2"
"51",5072,9303,"domain_2"
"52",6205,10817,"domain_1"
"53",8707,4749,"domain_2"
"54",7703,4895,"domain_3"
"55",5317,5549,"domain_2"
"56",9462,5181,"domain_2"
"57",5441,4321,"domain_3"
"58",8212,9226,"domain_1"
"59",2933,7213,"domain_2"
"60",7450,4029,"domain_3"
"61",2553,4976,"domain_5"
"62",9210,4749,"domain_2"
"63",3687,7356,"domain_2"
"64",5441,4755,"domain_3"
"65",7963,10670,"domain_1"
"66",5198,9664,"domain_2"
"67",10214,4170,"domain_2"
"68",9840,6264,"domain_1"
"69",6320,4248,"domain_4"
"70",9961,3304,"domain_2"
"71",3557,4685,"domain_2"
"72",3684,5335,"domain_2"
"73",8831,3522,"domain_3"
"74",10216,5613,"domain_6"
"75",6831,9445,"domain_1"
"76",2808,7574,"domain_2"
"77",4818,7571,"domain_2"
"78",7584,9155,"domain_1"
"79",3310,7140,"domain_2"
"80",9592,8430,"domain_1"
"81",8586,7421,"domain_1"
"82",3815,9161,"domain_2"
"83",9082,3088,"domain_3"
"84",8461,7782,"domain_1"
"85",3685,6346,"domain_2"
"86",4819,8004,"domain_2"
"87",4319,10026,"domain_2"
"88",2803,4109,"domain_5"
"89",10217,6335,"domain_1"
"90",4692,7210,"domain_2"
"91",8589,9298,"domain_1"
"92",8086,9154,"domain_1"
"93",7703,5329,"domain_3"
"94",7829,5545,"domain_3"
"95",4814,5405,"domain_2"
"96",6326,7857,"domain_3"
"97",4560,3240,"domain_3"
"98",7712,10671,"domain_1"
"99",2303,5987,"domain_2"
"100",8711,6915,"domain_1"
"101",6573,5691,"domain_3"
"102",9342,9152,"domain_1"
"103",3313,9162,"domain_2"
"104",3180,4469,"domain_2"
"105",6202,9229,"domain_2"
"106",8457,5472,"domain_3"
"107",3812,7284,"domain_2"
"108",4315,7283,"domain_2"
"109",2680,6058,"domain_2"
"110",4058,3818,"domain_3"
"111",5441,4466,"domain_2"
"112",3556,3963,"domain_5"
"113",5690,3022,"domain_3"
"114",2429,6059,"domain_2"
"115",3431,4325,"domain_2"
"116",9584,2943,"domain_2"
"117",9338,6409,"domain_1"
"118",2426,4471,"domain_5"
"119",6325,7424,"domain_3"
"120",5190,4466,"domain_3"
"121",6200,8074,"domain_3"
"122",6697,4608,"domain_3"
"123",6326,8290,"domain_3"
"124",9211,5326,"domain_2"
"125",5071,9014,"domain_2"
"126",9215,7781,"domain_1"
"127",8460,7493,"domain_1"
"128",7962,10237,"domain_1"
"129",9962,4170,"domain_2"
"130",10219,7779,"domain_1"
"131",8959,5038,"domain_3"
"132",8083,7421,"domain_1"
"133",6200,7785,"domain_3"
"134",8964,8359,"domain_1"
"135",5318,5982,"domain_3"
"136",6706,10383,"domain_1"
"137",5197,8798,"domain_2"
"138",7084,11033,"other"
"139",4814,5261,"domain_2"
"140",5569,5837,"domain_3"
"141",9711,4026,"domain_2"
"142",5072,9159,"domain_2"
"143",9335,4387,"domain_2"
"144",9206,2583,"domain_2"
"145",4945,8365,"domain_2"
"146",7333,9155,"domain_1"
"147",4187,5912,"domain_2"
"148",5944,4754,"domain_3"
"149",7459,9805,"domain_1"
"150",6694,2731,"domain_3"
"151",6948,4319,"domain_3"
"152",9589,5975,"domain_2"
"153",5313,3239,"domain_3"
"154",7334,10021,"domain_1"
"155",7953,4462,"domain_3"
"156",10467,5180,"domain_6"
"157",8336,8287,"domain_1"
"158",8965,8647,"domain_1"
"159",4068,10027,"domain_2"
"160",7577,4968,"domain_3"
"161",2430,6925,"domain_2"
"162",10345,7562,"domain_1"
"163",6321,4681,"domain_3"
"164",8331,5255,"domain_3"
"165",4686,3889,"domain_3"
"166",10215,5180,"domain_6"
"167",8332,5833,"domain_3"
"168",7834,8721,"domain_1"
"169",8962,6626,"domain_1"
"170",4936,3023,"domain_2"
"171",2805,5553,"domain_2"
"172",7574,2658,"domain_2"
"173",7963,10381,"domain_1"
"174",5198,9808,"domain_2"
"175",6320,4103,"domain_4"
"176",10466,4891,"domain_6"
"177",8589,9586,"domain_1"
"178",3433,5913,"domain_2"
"179",2803,4398,"domain_5"
"180",6703,8218,"domain_3"
"181",7084,10744,"domain_1"
"182",2807,6852,"domain_2"
"183",10221,8501,"domain_1"
"184",8329,3667,"domain_3"
"185",5074,10458,"domain_2"
"186",6570,3237,"domain_3"
"187",5825,9158,"domain_2"
"188",8203,3595,"domain_3"
"189",7828,4679,"domain_3"
"190",7331,8145,"domain_1"
"191",4690,5911,"domain_2"
"192",3682,4035,"domain_2"
"193",4695,9232,"domain_2"
"194",4947,9809,"domain_2"
"195",4942,6777,"domain_3"
"196",4193,9521,"domain_2"
"197",5565,3672,"domain_3"
"198",4186,5045,"domain_2"
"199",9961,3159,"domain_2"
"200",8707,4461,"domain_2"
"201",10089,4819,"domain_2"
"202",6825,6124,"domain_4"
"203",9088,7275,"domain_1"
"204",9207,2872,"domain_3"
"205",8209,7060,"domain_1"
"206",4695,9087,"domain_2"
"207",9710,3160,"domain_2"
"208",10092,6696,"domain_1"
"209",10094,7996,"domain_1"
"210",7957,7061,"domain_2"
"211",7457,8505,"domain_1"
"212",10212,3159,"domain_2"
"213",3439,9089,"domain_2"
"214",3185,7357,"domain_2"
"215",9836,3665,"domain_2"
"216",7574,2802,"domain_2"
"217",9720,9512,"domain_1"
"218",8085,8432,"domain_1"
"219",7332,8578,"domain_1"
"220",5823,7714,"domain_3"
"221",4562,4684,"domain_2"
"222",5566,4393,"domain_2"
"223",6443,2587,"domain_2"
"224",7959,7927,"domain_1"
"225",5442,5188,"domain_3"
"226",9467,8791,"domain_1"
"227",7331,8000,"domain_2"
"228",7073,3958,"domain_3"
"229",6321,4825,"domain_3"
"230",8959,4749,"domain_3"
"231",8212,9515,"domain_1"
"232",5690,3166,"domain_3"
"233",5322,8436,"domain_2"
"234",4816,6560,"domain_3"
"235",7332,9011,"domain_1"
"236",3561,7140,"domain_2"
"237",9334,3666,"domain_3"
"238",4816,6127,"domain_3"
"239",4186,5334,"domain_2"
"240",3680,2880,"domain_2"
"241",9962,3737,"domain_2"
"242",4940,5622,"domain_2"
"243",6958,10527,"domain_1"
"244",5697,7642,"domain_3"
"245",2683,7647,"domain_2"
"246",5195,7643,"domain_3"
"247",3933,3746,"domain_2"
"248",8332,5977,"domain_3"
"249",8330,4245,"domain_3"
"250",2681,6636,"domain_2"
"251",3058,6707,"domain_2"
"252",9218,9658,"domain_1"
"253",3060,8296,"domain_2"
"254",8462,8792,"domain_1"
"255",8206,5328,"domain_3"
"256",6568,2515,"domain_2"
"257",7575,3524,"domain_3"
"258",9207,3160,"domain_3"
"259",4440,7066,"domain_2"
"260",5816,3382,"domain_3"
"261",8710,6626,"domain_1"
"262",7082,9877,"domain_1"
"263",7078,6990,"domain_3"
"264",6949,5185,"domain_3"
"265",7457,8361,"domain_1"
"266",6831,10022,"domain_1"
"267",8208,6916,"domain_2"
"268",9971,9512,"domain_1"
"269",8458,6049,"domain_3"
"270",3936,6056,"domain_2"
"271",8838,8142,"domain_1"
"272",2684,8368,"domain_2"
"273",5570,6415,"domain_3"
"274",6957,10239,"domain_1"
"275",7833,7999,"domain_1"
"276",6569,2804,"domain_3"
"277",2178,6492,"domain_2"
"278",7835,9299,"domain_1"
"279",6575,6558,"domain_3"
"280",7323,3380,"domain_3"
"281",7076,5546,"domain_4"
"282",5573,8725,"domain_2"
"283",4938,4322,"domain_3"
"284",6447,5186,"domain_3"
"285",9343,9730,"domain_1"
"286",9461,4604,"domain_2"
"287",10466,5035,"domain_6"
"288",8962,7203,"domain_1"
"289",6580,9734,"domain_1"
"290",7076,5979,"domain_4"
"291",9087,6409,"domain_1"
"292",3305,3964,"domain_5"
"293",8834,5399,"domain_2"
"294",7834,8577,"domain_1"
"295",3436,7212,"domain_2"
"296",2558,8296,"domain_2"
"297",2932,6347,"domain_2"
"298",8956,3305,"domain_3"
"299",9465,7347,"domain_1"
"300",5320,7281,"domain_3"
"301",6328,9157,"domain_2"
"302",8210,8215,"domain_1"
"303",7334,10166,"domain_1"
"304",7584,9588,"domain_1"
"305",9208,3594,"domain_3"
"306",9709,2871,"domain_2"
"307",9462,5326,"domain_2"
"308",8079,4678,"domain_3"
"309",5818,4682,"domain_3"
"310",6958,10672,"domain_1"
"311",10343,6696,"domain_1"
"312",6079,10601,"domain_1"
"313",9962,3592,"domain_2"
"314",7575,3813,"domain_3"
"315",5817,4249,"domain_2"
"316",9838,4964,"domain_2"
"317",2804,4975,"domain_5"
"318",2935,8368,"domain_2"
"319",8078,3812,"domain_3"
"320",8956,3450,"domain_3"
"321",5324,10025,"domain_2"
"322",4568,8293,"domain_2"
"323",5940,2588,"domain_3"
"324",4943,7065,"domain_3"
"325",6329,9879,"domain_1"
"326",6448,5619,"domain_3"
"327",3059,7574,"domain_2"
"328",9714,5903,"domain_2"
"329",4948,10386,"domain_2"
"330",8841,9875,"domain_1"
"331",5947,6919,"domain_3"
"332",3939,7789,"domain_2"
"333",7205,7639,"domain_3"
"334",7957,6772,"domain_2"
"335",6949,4752,"domain_3"
"336",6073,6991,"domain_3"
"337",5438,2878,"domain_3"
"338",5324,9736,"domain_2"
"339",6695,3453,"domain_3"
"340",3682,4469,"domain_2"
"341",9466,7925,"domain_1"
"342",8964,8214,"domain_1"
"343",8334,6844,"domain_2"
"344",8459,6482,"domain_2"
"345",7959,8071,"domain_1"
"346",2427,4759,"domain_5"
"347",9459,3304,"domain_2"
"348",7702,4318,"domain_3"
"349",3680,3169,"domain_2"
"350",3059,7285,"domain_2"
"351",10592,4819,"domain_6"
"352",5948,7353,"domain_3"
"353",10596,7706,"domain_1"
"354",6956,9517,"domain_1"
"355",7323,2947,"domain_2"
"356",8327,2801,"domain_3"
"357",3938,7067,"domain_2"
"358",6953,7495,"domain_3"
"359",6698,5330,"domain_4"
"360",4183,3457,"domain_3"
"361",2806,6419,"domain_2"
"362",5953,10673,"domain_1"
"363",9337,5687,"domain_2"
"364",9971,9368,"domain_1"
"365",3562,7429,"domain_2"
"366",10719,6046,"domain_2"
"367",9711,3737,"domain_3"
"368",4940,5477,"domain_2"
"369",9338,6553,"domain_1"
"370",8088,10020,"domain_1"
"371",6581,10311,"domain_1"
"372",9837,4098,"domain_2"
"373",3562,7862,"domain_2"
"374",9211,5471,"domain_2"
"375",2678,4903,"domain_5"
"376",9342,8719,"domain_1"
"377",4943,7499,"domain_3"
"378",2931,5625,"domain_2"
"379",10213,3736,"domain_2"
"380",9712,4603,"domain_2"
"381",7701,3740,"domain_3"
"382",5827,10024,"domain_1"
"383",8963,7492,"domain_1"
"384",7832,7566,"domain_1"
"385",4057,3241,"domain_2"
"386",7953,4173,"domain_2"
"387",6326,8146,"domain_3"
"388",5187,2589,"domain_3"
"389",7080,8145,"domain_2"
"390",6325,7569,"domain_3"
"391",8966,9225,"domain_1"
"392",7708,8505,"domain_1"
"393",10340,4675,"domain_6"
"394",3813,7573,"domain_2"
"395",8454,3162,"domain_3"
"396",10971,6334,"other"
"397",5572,8147,"domain_3"
"398",5191,5332,"domain_2"
"399",3055,5119,"domain_2"
"400",5947,6486,"domain_3"
"401",5571,7137,"domain_3"
"402",3432,4758,"domain_2"
"403",3188,9378,"domain_2"
"404",9090,8142,"domain_1"
"405",3557,4830,"domain_2"
"406",6327,9012,"domain_2"
"407",6574,6269,"domain_4"
"408",7584,9010,"domain_1"
"409",8211,8360,"domain_1"
"410",8955,2728,"domain_3"
"411",9467,8646,"domain_1"
"412",5195,7931,"domain_2"
"413",7079,7712,"domain_3"
"414",2304,6564,"domain_2"
"415",5443,6054,"domain_3"
"416",7323,3236,"domain_3"
"417",8339,10309,"domain_1"
"418",5827,10168,"domain_1"
"419",5319,6993,"domain_3"
"420",6695,3309,"domain_3"
"421",9459,3449,"domain_2"
"422",9458,3160,"domain_2"
"423",5195,7787,"domain_3"
"424",6578,8868,"domain_2"
"425",8329,3523,"domain_3"
"426",7076,5690,"domain_4"
"427",9843,8141,"domain_1"
"428",7828,4534,"domain_3"
"429",6444,3309,"domain_3"
"430",5826,9591,"domain_2"
"431",3933,4179,"domain_2"
"432",4560,3384,"domain_3"
"433",2680,5914,"domain_2"
"434",8202,3162,"domain_2"
"435",4562,4539,"domain_2"
"436",7958,7205,"domain_2"
"437",5067,6560,"domain_3"
"438",8214,10525,"domain_1"
"439",6947,3742,"domain_3"
"440",7961,9515,"domain_1"
"441",8456,4894,"domain_3"
"442",5318,5838,"domain_3"
"443",9714,5758,"domain_2"
"444",10341,4963,"domain_6"
"445",5071,8870,"domain_2"
"446",9084,4965,"domain_2"
"447",6822,3814,"domain_3"
"448",5440,3888,"domain_3"
"449",3812,7139,"domain_2"
"450",4813,4539,"domain_2"
"451",3053,3676,"domain_5"
"452",8213,9803,"domain_1"
"453",2178,6204,"domain_2"
"454",7837,10165,"domain_1"
"455",5820,5692,"domain_3"
"456",6824,5258,"domain_4"
"457",3683,5046,"domain_2"
"458",7583,8433,"domain_1"
"459",9842,7707,"domain_1"
"460",4444,9521,"domain_2"
"461",5446,7931,"domain_3"
"462",4439,6489,"domain_2"
"463",3565,9594,"domain_2"
"464",6078,10168,"domain_1"
"465",9083,4243,"domain_3"
"466",7825,2946,"domain_3"
"467",6323,6414,"domain_3"
"468",8454,3450,"domain_3"
"469",9340,7708,"domain_1"
"470",6956,9228,"domain_1"
"471",8832,3955,"domain_3"
"472",10340,4386,"domain_6"
"473",5194,7209,"domain_3"
"474",6068,3959,"domain_3"
"475",8462,8359,"domain_1"
"476",5693,5043,"domain_3"
"477",9842,7419,"domain_1"
"478",8836,6698,"domain_1"
"479",8212,9370,"domain_1"
"480",8455,3884,"domain_3"
"481",4565,6272,"domain_2"
"482",9841,6697,"domain_1"
"483",9719,8935,"domain_1"
"484",4693,8365,"domain_2"
"485",10721,7201,"domain_1"
"486",7074,4391,"domain_3"
"487",10343,6407,"domain_1"
"488",9837,4387,"domain_2"
"489",9463,6048,"domain_2"
"490",3687,7212,"domain_2"
"491",10214,4603,"domain_2"
"492",3942,9955,"domain_2"
"493",6443,2732,"domain_2"
"494",8078,4101,"domain_2"
"495",8077,3523,"domain_2"
"496",4435,3601,"domain_3"
"497",8206,5183,"domain_3"
"498",3937,6778,"domain_2"
"499",4942,6488,"domain_3"
"500",10339,4097,"domain_2"
"501",8961,6482,"domain_1"
"502",4820,9159,"domain_2"
"503",9590,6986,"domain_1"
"504",8077,3379,"domain_2"
"505",3432,5191,"domain_2"
"506",10093,7274,"domain_1"
"507",2803,4253,"domain_5"
"508",2553,5120,"domain_5"
"509",7456,7639,"domain_2"
"510",9461,4893,"domain_2"
"511",9844,8718,"domain_1"
"512",4444,9665,"domain_2"
"513",3813,7861,"domain_2"
"514",8337,8720,"domain_1"
"515",6577,8001,"domain_3"
"516",4066,8872,"domain_2"
"517",6706,10239,"domain_1"
"518",6950,5763,"domain_4"
"519",4317,8582,"domain_2"
"520",8581,4533,"domain_2"
"521",2429,5914,"domain_2"
"522",6948,4175,"domain_3"
"523",9465,7203,"domain_1"
"524",7206,8650,"domain_1"
"525",3809,5262,"domain_2"
"526",7202,5762,"domain_4"
"527",4067,9593,"domain_2"
"528",8338,9587,"domain_1"
"529",8460,7204,"domain_1"
"530",7584,9444,"domain_1"
"531",7826,3668,"domain_2"
"532",5071,8726,"domain_2"
"533",9212,6048,"domain_2"
"534",7961,9660,"domain_1"
"535",5317,5260,"domain_2"
"536",2927,3604,"domain_5"
"537",3686,6490,"domain_2"
"538",7451,4318,"domain_3"
"539",9593,8863,"domain_1"
"540",9208,3738,"domain_3"
"541",5064,4683,"domain_2"
"542",8081,5544,"domain_3"
"543",4812,3817,"domain_3"
"544",3438,8945,"domain_2"
"545",2303,5842,"domain_2"
"546",6330,10456,"domain_1"
"547",8710,6338,"domain_2"
"548",5451,10674,"domain_1"
"549",7324,3958,"domain_3"
"550",3936,5768,"domain_2"
"551",6199,7208,"domain_3"
"552",10341,5397,"domain_6"
"553",6454,9518,"domain_1"
"554",9964,4892,"domain_2"
"555",6076,9157,"domain_2"
"556",5439,3311,"domain_3"
"557",10467,5757,"domain_2"
"558",5574,8869,"domain_2"
"559",5948,7064,"domain_3"
"560",3433,5480,"domain_2"
"561",3311,8007,"domain_2"
"562",9713,5037,"domain_2"
"563",6195,4753,"domain_3"
"564",6204,10384,"domain_1"
"565",7576,3957,"domain_3"
"566",5073,10025,"domain_2"
"567",9841,6552,"domain_1"
"568",6445,3742,"domain_3"
"569",7210,10816,"domain_1"
"570",10086,3087,"domain_2"
"571",4567,7860,"domain_2"
"572",6953,7351,"domain_3"
"573",3812,6851,"domain_2"
"574",5450,10385,"domain_1"
"575",6193,3310,"domain_3"
"576",4944,8220,"domain_2"
"577",8839,8864,"domain_1"
"578",10595,6984,"domain_1"
"579",3816,9594,"domain_2"
"580",3434,6202,"domain_2"
"581",4939,4900,"domain_2"
"582",9840,5975,"domain_2"
"583",9084,4388,"domain_3"
"584",9087,6265,"domain_1"
"585",10215,5036,"domain_6"
"586",6951,5907,"domain_4"
"587",7835,9010,"domain_1"
"588",8715,9658,"domain_1"
"589",2552,4687,"domain_5"
"590",3808,4541,"domain_2"
"591",7082,9733,"domain_1"
"592",3941,9233,"domain_2"
"593",6579,9012,"domain_1"
"594",4940,5333,"domain_2"
"595",7702,4173,"domain_3"
"596",6832,10600,"domain_1"
"597",9969,8357,"domain_1"
"598",8965,9080,"domain_1"
"599",8205,4606,"domain_3"
"600",5451,10530,"domain_1"
"601",8582,4677,"domain_2"
"602",4058,3963,"domain_2"
"603",4817,7282,"domain_2"
"604",10220,8068,"domain_1"
"605",7334,9877,"domain_1"
"606",7328,6268,"domain_4"
"607",10089,4531,"domain_2"
"608",6201,8796,"domain_2"
"609",5450,9952,"domain_2"
"610",9216,8936,"domain_1"
"611",7453,6051,"domain_4"
"612",5950,8796,"domain_2"
"613",8338,9442,"domain_1"
"614",7578,5545,"domain_3"
"615",9468,9080,"domain_1"
"616",6955,8939,"domain_1"
"617",4821,9304,"domain_2"
"618",9593,8718,"domain_1"
"619",6821,3381,"domain_3"
"620",7700,3163,"domain_2"
"621",6192,3021,"domain_3"
"622",3941,9377,"domain_2"
"623",3555,3242,"domain_5"
"624",4436,4179,"domain_2"
"625",6825,5691,"domain_4"
"626",3814,8294,"domain_2"
"627",8204,4317,"domain_3"
"628",4811,3095,"domain_2"
"629",5063,3528,"domain_3"
"630",3690,8944,"domain_2"
"631",4308,3096,"domain_3"
"632",5569,6126,"domain_3"
"633",7204,7206,"domain_3"
"634",3430,3891,"domain_5"
"635",3054,4397,"domain_2"
"636",9967,7057,"domain_1"
"637",3807,3819,"domain_2"
"638",3310,6996,"domain_2"
"639",9089,7853,"domain_1"
"640",7836,9876,"domain_1"
"641",7702,4751,"domain_3"
"642",2177,5770,"domain_2"
"643",7706,6917,"domain_2"
"644",8967,10235,"domain_1"
"645",6072,6125,"domain_3"
"646",6572,4536,"domain_3"
"647",6201,8363,"domain_3"
"648",4944,7932,"domain_2"
"649",8084,7710,"domain_1"
"650",5198,9953,"domain_2"
"651",6330,10312,"domain_1"
"652",7579,6267,"domain_3"
"653",3807,3674,"domain_2"
"654",7706,7061,"domain_2"
"655",4060,4685,"domain_2"
"656",9466,8069,"domain_1"
"657",9842,7130,"domain_1"
"658",8838,7709,"domain_1"
"659",6195,4609,"domain_3"
"660",2932,6491,"domain_2"
"661",9088,7131,"domain_1"
"662",6829,8145,"domain_3"
"663",8832,4099,"domain_2"
"664",4568,8438,"domain_2"
"665",5942,3310,"domain_3"
"666",8713,8070,"domain_1"
"667",7710,9227,"domain_1"
"668",9716,7058,"domain_1"
"669",9218,10091,"domain_1"
"670",4440,6922,"domain_2"
"671",2929,4325,"domain_5"
"672",9090,8575,"domain_1"
"673",5565,3238,"domain_3"
"674",5323,9158,"domain_2"
"675",5945,5764,"domain_4"
"676",5067,5982,"domain_3"
"677",5197,9231,"domain_2"
"678",9594,9585,"domain_1"
"679",4058,3530,"domain_3"
"680",3806,3241,"domain_2"
"681",7200,4896,"domain_3"
"682",4947,9520,"domain_2"
"683",4441,7644,"domain_2"
"684",5320,7137,"domain_3"
"685",2682,7358,"domain_2"
"686",6952,6629,"domain_3"
"687",6580,9878,"domain_1"
"688",9088,7420,"domain_1"
"689",8587,7854,"domain_1"
"690",10096,9295,"domain_1"
"691",7950,2585,"domain_2"
"692",9710,3304,"domain_2"
"693",6455,10095,"domain_1"
"694",8830,2944,"domain_3"
"695",6581,10456,"domain_1"
"696",9091,9152,"domain_1"
"697",4192,8799,"domain_2"
"698",6199,6919,"domain_3"
"699",10720,6479,"domain_2"
"700",6203,9518,"domain_1"
"701",7327,5401,"domain_4"
"702",8210,8071,"domain_1"
"703",3184,6779,"domain_2"
"704",4060,4829,"domain_2"
"705",5695,6487,"domain_3"
"706",7711,10237,"domain_1"
"707",7954,4895,"domain_3"
"708",5948,7208,"domain_3"
"709",9460,3882,"domain_3"
"710",4317,8438,"domain_2"
"711",7577,5112,"domain_3"
